DataID,DSID
1_SummitPE_PE_1_ret,2
1_SummitPE_PE_2_ret,3
1_SummitPE_PE_3_ret,4
1_SummitPE_PE_4_ret,5
1_SummitPE_PE_Universe_ret,6
1_SummitPE_PE_NA_ret,7
1_SummitPBK_PBK_1_ret,13
1_SummitPBK_PBK_2_ret,9
1_SummitPBK_PBK_3_ret,10
1_SummitPBK_PBK_4_ret,11
1_SummitPBK_PBK_Universe_ret,8
1_SummitPBK_PBK_NA_Ret,12
1_SummitMMT_MMT9M_1_ret,14
1_SummitMMT_MMT9M_2_ret,15
1_SummitMMT_MMT9M_3_ret,16
1_SummitMMT_MMT9M_4_ret,17
1_SummitMMT_MMT9M_Universe_ret,18
1_SummitMMT_MMT9M_NA_ret,19
1_SummitNegEarning_NegEarning_1_ret,21
1_SummitNegEarning_NegEarning_2_ret,22
1_SummitNegEarning_NegEarning_3_ret,23
1_SummitNegEarning_NegEarning_4_ret,20
1_SummitNegEarning_NegEarning_Universe_ret,25
1_SummitNegEarning_NegEarning_NA_ret,24
4_DynamicTtool_PBKLag3m_1_min,26
4_DynamicTtool_PBKLag3m_1_median,27
4_DynamicTtool_PBKLag3m_1_max,29
4_DynamicTtool_PBKLag3m_1_mean,28
4_DynamicTtool_PBKLag3m_2_min,30
4_DynamicTtool_PBKLag3m_2_median,31
4_DynamicTtool_PBKLag3m_2_max,33
4_DynamicTtool_PBKLag3m_2_mean,32
4_DynamicTtool_PBKLag3m_3_min,34
4_DynamicTtool_PBKLag3m_3_median,35
4_DynamicTtool_PBKLag3m_3_max,37
4_DynamicTtool_PBKLag3m_3_mean,36
4_DynamicTtool_PBKLag3m_4_min,38
4_DynamicTtool_PBKLag3m_4_median,39
4_DynamicTtool_PBKLag3m_4_max,41
4_DynamicTtool_PBKLag3m_4_mean,40
4_DynamicTtool_PBKNoLag_1_min,42
4_DynamicTtool_PBKNoLag_1_median,43
4_DynamicTtool_PBKNoLag_1_max,45
4_DynamicTtool_PBKNoLag_1_mean,44
4_DynamicTtool_PBKNoLag_2_min,46
4_DynamicTtool_PBKNoLag_2_median,47
4_DynamicTtool_PBKNoLag_2_max,49
4_DynamicTtool_PBKNoLag_2_mean,48
4_DynamicTtool_PBKNoLag_3_min,50
4_DynamicTtool_PBKNoLag_3_median,51
4_DynamicTtool_PBKNoLag_3_max,53
4_DynamicTtool_PBKNoLag_3_mean,52
4_DynamicTtool_PBKNoLag_4_min,54
4_DynamicTtool_PBKNoLag_4_median,55
4_DynamicTtool_PBKNoLag_4_max,57
4_DynamicTtool_PBKNoLag_4_mean,56